SITE_ID,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON
BFT142,1,2021,1/5/21 8:00,0.12,1.939,0.123,0.048,0.076,0.157,1.289,0.173,0.629,0.359,0.137,0.951,0.75,12/29/20
BFT142,1,2022,1/11/22 8:00,0.086,0.729,0.312,0.121,0.057,0.079,0.654,0.247,0.637,0.496,0.189,0.822,0.944,1/4/22
BFT142,1,2023,1/10/23 8:00,0.103,0.465,0.25,0.097,0.054,0.059,0.425,0.26,0.568,0.371,0.142,0.809,0.814,1/3/23
BFT142,1,2024,1/9/24 8:00,0.07,1.067,0.228,0.088,0.052,0.09,0.719,0.301,0.724,0.656,0.25,0.878,0.947,1/2/24
BFT142,2,2021,1/12/21 8:00,0.074,0.11,0.499,0.194,0.036,0.02,0.138,0.469,0.718,0.58,0.221,0.957,1.209,1/5/21
BFT142,2,2022,1/18/22 8:00,0.104,0.564,0.516,0.2,0.048,0.063,0.492,0.26,0.735,0.501,0.191,0.774,1.242,1/11/22
BFT142,2,2023,1/17/23 8:00,0.101,0.375,0.309,0.12,0.042,0.043,0.332,0.329,0.56,0.316,0.121,0.868,0.864,1/10/23
BFT142,2,2024,1/16/24 8:00,0.141,2.117,0.161,0.062,0.078,0.158,1.246,0.151,0.42,0.47,0.179,0.877,0.578,1/9/24
BFT142,3,2021,1/19/21 8:00,0.067,0.046,0.757,0.294,0.052,0.019,0.12,0.348,0.498,0.444,0.169,0.773,1.243,1/12/21
BFT142,3,2022,1/25/22 8:00,0.077,0.135,0.48,0.186,0.038,0.028,0.222,0.475,1.044,0.437,0.167,0.801,1.516,1/18/22
BFT142,3,2023,1/24/23 8:00,0.126,0.516,0.282,0.109,0.066,0.07,0.529,0.172,0.65,0.445,0.17,0.827,0.927,1/17/23
BFT142,3,2024,1/23/24 8:00,0.051,0.034,0.504,0.196,0.024,0.017,0.104,0.303,0.48,0.606,0.231,0.708,0.976,1/16/24
BFT142,4,2021,1/26/21 8:00,0.139,0.272,0.373,0.145,0.053,0.038,0.267,0.279,0.604,0.557,0.213,0.662,0.971,1/19/21
BFT142,4,2022,2/1/22 8:00,0.106,0.54,0.519,0.201,0.043,0.066,0.568,0.452,1.379,0.698,0.266,0.966,1.89,1/25/22
BFT142,4,2023,1/31/23 8:00,0.057,0.661,0.247,0.096,0.042,0.061,0.467,0.216,0.326,0.306,0.117,0.725,0.57,1/24/23
BFT142,4,2024,1/30/24 8:00,0.057,1.348,0.116,0.045,0.049,0.111,0.905,0.103,0.567,0.296,0.113,0.697,0.681,1/23/24
BFT142,5,2022,2/8/22 8:00,0.099,2.281,0.126,0.049,0.08,0.176,1.489,0.281,1.055,0.448,0.171,1.033,1.179,2/1/22
BFT142,5,2023,2/7/23 8:00,0.077,0.535,0.37,0.144,0.034,0.056,0.445,0.278,0.637,0.453,0.173,0.756,1.001,1/31/23
BFT142,5,2024,2/6/24 8:00,0.093,0.696,0.264,0.102,0.055,0.088,0.68,0.249,1.239,0.528,0.202,0.748,1.499,1/30/24
BFT142,6,2020,2/11/20 8:00,0.109,1.829,0.333,0.129,0.084,0.161,1.321,0.197,0.659,0.38,0.145,1.142,0.987,2/4/20
BFT142,6,2021,2/9/21 8:00,0.083,0.669,0.325,0.126,0.053,0.061,0.515,0.239,0.661,0.538,0.205,0.683,0.98,2/2/21
BFT142,6,2022,2/15/22 8:00,0.158,0.343,0.512,0.199,0.067,0.044,0.339,0.453,0.814,0.66,0.252,0.98,1.318,2/8/22
BFT142,6,2023,2/14/23 8:00,0.123,1.169,0.383,0.149,0.067,0.121,0.948,0.182,0.783,0.382,0.146,1.006,1.16,2/7/23
BFT142,6,2024,2/13/24 8:00,0.118,1.518,0.123,0.048,0.08,0.148,1.197,0.205,1.406,0.351,0.134,0.74,1.526,2/6/24
